,Country,Code,Region,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,Status,ave_GHG,ave_GDP
46,Russia,RUS,EasternEurope,2033334.96,2033968.36,2082644.32,2145241.38,2136517.95,1363481063446.77,1276786979221.81,1574199387070.9,1657328865709.99,1687448525466.61,Developing,2086341.394,1511848964183.216
47,Saudi Arabia,SAU,WesternAsia,548262.55,548262.55,548262.55,548262.55,548262.55,654269902880.0,644935541440.0,688586244293.333,786521831573.333,792966838160.0,Developing,548262.55,713456071669.3333
48,Slovak Republic,SVK,EasternEurope,40869.58,41318.67,42419.28,42276.43,39955.73,88601289843.0917,89614053143.7939,95157888666.9967,105561218935.334,105284375640.698,Developed,41367.938,96843765245.98286
49,Slovenia,SVN,SouthernEurope,16912.47,17790.03,17870.43,17689.13,17204.83,43090173394.6913,44736333522.4522,48469082710.3089,54137142149.4799,54178877605.9999,Developed,17493.378,48922321876.58644
50,South Africa,ZAF,SouthernAfrica,379837.16,379837.16,379837.16,379837.16,379837.16,346709790458.563,323585509674.481,381448814653.456,404842116738.074,387934574098.17,Developing,379837.16,368904161124.54877
51,Spain,ESP,SouthernEurope,333623.41,321649.7,334703.52,328905.09,309814.17,1195119269971.52,1232076017361.53,1309297246509.31,1420300232663.59,1393046093137.25,Developed,325739.17799999996,1309967771928.6401
52,Sweden,SWE,NorthernEurope,53557.22,53468.25,52562.66,51784.17,50607.24,505103781349.757,515654671469.547,541018749769.097,555455371487.089,533879529188.454,Developed,52395.907999999996,530222420652.78876
53,Switzerland,CHE,WesternEurope,48903.48,49211.98,48245.13,46741.17,46470.47,702149580770.901,695600652899.283,704478516963.855,735539301552.674,731767398052.879,Developed,47914.446,713907090047.9183
54,Türkiye,TUR,WesternAsia,474967.53,501107.91,528565.93,523108.03,508725.87,864316670330.882,869692960365.551,858996263095.858,778471901665.148,761004425605.414,Developing,507295.054,826496444212.5706
55,Ukraine,UKR,EasternEurope,319166.58,337606.15,323286.59,339815.24,334118.11,91030959454.6961,93355993628.5042,112090530368.543,130891049796.879,153882982016.281,Developing,330798.534,116250303052.98067
56,United Kingdom,GBR,NorthernEurope,513880.19,488309.31,476874.21,467869.95,453233.65,2956573778737.76,2722851958486.23,2699016715111.39,2900791442554.06,2878673912414.44,Developed,480033.462,2831581561460.7764
57,United States,USA,NorthernAmerica,6737358.64,6578432.36,6561824.44,6754831.65,6617916.88,18238300569000.0,18745075687000.0,19542979183000.0,20611860934000.0,21433224697000.0,Developed,6650072.794000001,19714288214000.0
